	sequence_id	Assembly	Domain	pH	cluster_id	genus	species	tax_cluster_id	len
93	GCA_002153915.1	GCA_002153915.1	Archaea	Alkaliphiles	Archaea_pH	Methanonatronarchaeum	Methanonatronarchaeum thermophilum	1927129.0	100011
94	GCA_002156705.1	GCA_002156705.1	Archaea	Alkaliphiles	Archaea_pH	Natrarchaeobaculum	Natrarchaeobaculum aegyptiacum	745377.0	100009
95	GCA_002279355.1	GCA_002279355.1	Bacteria	Acidophiles	Bacteria_pH	Acidiphilium	Acidiphilium sp002279355	1970292.0	100013
96	GCA_002355395.1	GCA_002355395.1	Bacteria	Alkaliphiles	Bacteria_pH	Microcella	Microcella alkaliphila_A	279828.0	100009
97	GCA_002499975.2	GCA_002499975.2	Bacteria	Alkaliphiles	Bacteria_pH	Alteromonas	Alteromonas pelagimontana	1858656.0	100009
98	GCA_002806945.1	GCA_002806945.1	Bacteria	Alkaliphiles	Bacteria_pH	Marinobacter	Marinobacter salexigens	1925763.0	100013
99	GCA_002836945.1	GCA_002836945.1	Bacteria	Alkaliphiles	Bacteria_pH	Shewanella	Shewanella chilikensis	558541.0	100014
100	GCA_002836975.1	GCA_002836975.1	Bacteria	Alkaliphiles	Bacteria_pH	Shewanella	Shewanella indica	768528.0	100011
101	GCA_002952775.1	GCA_002952775.1	Archaea	Alkaliphiles	Archaea_pH	Halalkaliarchaeum	Halalkaliarchaeum desulfuricum	2055893.0	100009
102	GCA_002966495.1	GCA_002966495.1	Bacteria	Alkaliphiles	Bacteria_pH	Halomonas	Halomonas sp002966495	1118153.0	100009
103	GCA_003023695.1	GCA_003023695.1	Bacteria	Acidophiles	Bacteria_pH	Sulfobacillus_C	Sulfobacillus_C benefaciens_A	453960.0	100198
104	GCA_003023725.1	GCA_003023725.1	Bacteria	Acidophiles	Bacteria_pH	Sulfobacillus	Sulfobacillus benefaciens_A	453960.0	100077
105	GCA_003025595.1	GCA_003025595.1	Bacteria	Alkaliphiles	Bacteria_pH	Photobacterium	Photobacterium ganghwense	320778.0	100009
106	GCA_003057965.1	GCA_003057965.1	Bacteria	Acidophiles	Bacteria_pH	Thermodesulfobium	Thermodesulfobium acidiphilum	1794699.0	100009
107	GCA_003201675.2	GCA_003201675.2	Archaea	Acidophiles	Archaea_pH	Metallosphaera	Metallosphaera hakonensis	1293036.0	100009
108	GCA_003201765.2	GCA_003201765.2	Archaea	Acidophiles	Archaea_pH	Acidianus	Acidianus sulfidivorans	619593.0	100009
109	GCA_003201835.2	GCA_003201835.2	Archaea	Acidophiles	Archaea_pH	Acidianus_B	Acidianus_B brierleyi	41673.0	100009
110	GCA_003226325.1	GCA_003226325.1	Bacteria	Alkaliphiles	Bacteria_pH	Salipaludibacillus	Salipaludibacillus keqinensis	2045207.0	100009
111	GCA_003259835.1	GCA_003259835.1	Bacteria	Alkaliphiles	Bacteria_pH	Flavobacterium	Flavobacterium aquaticum	1236486.0	100013
112	GCA_003317055.1	GCA_003317055.1	Bacteria	Alkaliphiles	Bacteria_pH	Alkalibaculum	Alkalibaculum bacchi	645887.0	100011
113	GCA_003352165.1	GCA_003352165.1	Bacteria	Acidophiles	Bacteria_pH	Acidibrevibacterium	Acidibrevibacterium fodinaquatile	1969806.0	100009
114	GCA_003430825.1	GCA_003430825.1	Archaea	Alkaliphiles	Archaea_pH	Natrarchaeobaculum	Natrarchaeobaculum sulfurireducens	2044521.0	100009
115	GCA_003719725.1	GCA_003719725.1	Bacteria	Alkaliphiles	Bacteria_pH	Planococcus	Planococcus salinus	1848460.0	100011
116	GCA_003731635.1	GCA_003731635.1	Bacteria	Alkaliphiles	Bacteria_pH	Alteromonas	Alteromonas oceani	2071609.0	100014
117	GCA_003841465.1	GCA_003841465.1	Archaea	Alkaliphiles	Archaea_pH	Natrarchaeobius	Natrarchaeobius chitinivorans_A	1679083.0	100012
118	GCA_003841505.1	GCA_003841505.1	Archaea	Alkaliphiles	Archaea_pH	Natrarchaeobius	Natrarchaeobius chitinivorans	1679083.0	100011
119	GCA_003967175.1	GCA_003967175.1	Archaea	Acidophiles	Archaea_pH	Sulfodiicoccus	Sulfodiicoccus acidiphilus	1670455.0	100009
120	GCA_004123295.1	GCA_004123295.1	Bacteria	Acidophiles	Bacteria_pH	Silvibacterium	Silvibacterium dinghuense	1560006.0	100009
121	GCA_004216575.1	GCA_004216575.1	Bacteria	Alkaliphiles	Bacteria_pH	Microcella	Microcella putealis	337005.0	100009
122	GCA_004216855.1	GCA_004216855.1	Bacteria	Alkaliphiles	Bacteria_pH	Microcella	Microcella alkaliphila	279828.0	100011
123	GCA_004346035.1	GCA_004346035.1	Bacteria	Acidophiles	Bacteria_pH	Acidomonas	Acidomonas methanolica	437.0	100012
124	GCA_004366795.1	GCA_004366795.1	Bacteria	Acidophiles	Bacteria_pH	Alicyclobacillus	Alicyclobacillus sacchari	392010.0	100011
125	GCA_004421185.1	GCA_004421185.1	Bacteria	Acidophiles	Bacteria_pH	Methylacidiphilum	Methylacidiphilum sp004421185	1847730.0	100016
126	GCA_004745425.1	GCA_004745425.1	Archaea	Alkaliphiles	Archaea_pH	Methanolobus	Methanolobus sp004745425	2052935.0	100012
127	GCA_007475525.1	GCA_007475525.1	Bacteria	Acidophiles	Bacteria_pH	Methylacidiphilum	Methylacidiphilum kamchatkense	1202785.0	100009
128	GCA_007988865.1	GCA_007988865.1	Bacteria	Alkaliphiles	Bacteria_pH	Alkalibacterium	Alkalibacterium kapii	426704.0	100020
129	GCA_007991715.1	GCA_007991715.1	Bacteria	Acidophiles	Bacteria_pH	Alicyclobacillus	Alicyclobacillus acidoterrestris_A	1450.0	100014
130	GCA_008122205.1	GCA_008122205.1	Archaea	Alkaliphiles	Archaea_pH	Natronococcus	Natronococcus sp008122205	2055836.0	100014
131	GCA_008245225.1	GCA_008245225.1	Archaea	Alkaliphiles	Archaea_pH	Natrarchaeobius	Natrarchaeobius swarupiae	2448032.0	100013
132	GCA_008369445.1	GCA_008369445.1	Bacteria	Alkaliphiles	Bacteria_pH	Aureimonas	Aureimonas fodinaquatilis	2565783.0	100009
133	GCA_009392895.1	GCA_009392895.1	Archaea	Alkaliphiles	Archaea_pH	Natronorubrum	Natronorubrum aibiense	348826.0	100009
134	GCA_009662475.1	GCA_009662475.1	Bacteria	Acidophiles	Bacteria_pH	Acidithiobacillus	Acidithiobacillus thiooxidans	930.0	100009
135	GCA_009729015.1	GCA_009729015.1	Archaea	Acidophiles	Archaea_pH	Acidianus	Acidianus ambivalens	2283.0	100009
136	GCA_009729035.1	GCA_009729035.1	Archaea	Acidophiles	Archaea_pH	Stygiolobus	Stygiolobus azoricus	1313299.0	100009
137	GCA_009729055.1	GCA_009729055.1	Archaea	Acidophiles	Archaea_pH	Sulfurisphaera	Sulfurisphaera ohwakuensis	69656.0	100009
138	GCA_009765685.1	GCA_009765685.1	Bacteria	Acidophiles	Bacteria_pH	LMUY01	LMUY01 sp009765685	1641851.0	100103
139	GCA_009765975.1	GCA_009765975.1	Bacteria	Acidophiles	Bacteria_pH	Rhodopila	Rhodopila sp009765975	1747223.0	100472
140	GCA_009938015.1	GCA_009938015.1	Bacteria	Acidophiles	Bacteria_pH	Sulfuriferula	Sulfuriferula plumbiphila	171865.0	100009
141	GCA_013340765.1	GCA_013340765.1	Archaea	Acidophiles	Archaea_pH	Conexivisphaera	Conexivisphaera calida	1874277.0	100009
142	GCA_013343295.1	GCA_013343295.1	Archaea	Acidophiles	Archaea_pH	Metallosphaera	Metallosphaera tengchongensis	1532350.0	100009
143	GCA_013760845.1	GCA_013760845.1	Bacteria	Alkaliphiles	Bacteria_pH	Anoxybacillus_B	Anoxybacillus_B calidus	575178.0	100011
144	GCA_014196195.1	GCA_014196195.1	Bacteria	Alkaliphiles	Bacteria_pH	Anoxybacillus_A	Anoxybacillus_A rupiensis	1895648.0	100009
145	GCA_014201585.1	GCA_014201585.1	Bacteria	Alkaliphiles	Bacteria_pH	Anoxybacillus	Anoxybacillus tengchongensis	576944.0	100113
146	GCA_014201825.1	GCA_014201825.1	Bacteria	Acidophiles	Bacteria_pH	Acidocella	Acidocella aromatica	1303579.0	100009
147	GCA_014646555.1	GCA_014646555.1	Archaea	Acidophiles	Archaea_pH	Vulcanisaeta	Vulcanisaeta souniana	1293586.0	100011
148	GCA_014647115.1	GCA_014647115.1	Archaea	Acidophiles	Archaea_pH	Halarchaeum	Halarchaeum rubridurum	489911.0	100009
149	GCA_014647155.1	GCA_014647155.1	Archaea	Acidophiles	Archaea_pH	Halarchaeum	Halarchaeum nitratireducens	489913.0	100009
150	GCA_014647455.2	GCA_014647455.2	Archaea	Acidophiles	Archaea_pH	Halarchaeum	Halarchaeum grantii	1193105.0	100012
151	GCA_017298635.1	GCA_017298635.1	Bacteria	Acidophiles	Bacteria_pH	Alicyclobacillus_B	Alicyclobacillus_B ferrooxydans_B	471514.0	100009
152	GCA_017298655.1	GCA_017298655.1	Bacteria	Acidophiles	Bacteria_pH	Alicyclobacillus_B	Alicyclobacillus_B ferrooxydans_A	471514.0	100009
153	GCA_017310505.1	GCA_017310505.1	Bacteria	Acidophiles	Bacteria_pH	Methylacidiphilum	Methylacidiphilum sp004421255	1847729.0	100009
154	GCA_018853935.1	GCA_018853935.1	Bacteria	Acidophiles	Bacteria_pH	Acidithiobacillus	Acidithiobacillus ferrivorans	160808.0	100022
155	GCA_018854495.1	GCA_018854495.1	Bacteria	Acidophiles	Bacteria_pH	Acidithiobacillus	Acidithiobacillus ferrooxidans_C	920.0	100031
156	GCA_018860765.1	GCA_018860765.1	Bacteria	Alkaliphiles	Bacteria_pH	Marinobacter	Marinobacter salexigens_A	1925763.0	100009
157	GCA_018861005.1	GCA_018861005.1	Bacteria	Alkaliphiles	Bacteria_pH	Polaribacter	Polaribacter vadi_A	1774273.0	100219
158	GCA_900079115.1	GCA_900079115.1	Archaea	Acidophiles	Archaea_pH	Saccharolobus	Saccharolobus solfataricus	2287.0	100009
159	GCA_900101165.1	GCA_900101165.1	Bacteria	Alkaliphiles	Bacteria_pH	Alkalibacterium	Alkalibacterium thalassium	426701.0	100014
160	GCA_900104065.1	GCA_900104065.1	Archaea	Alkaliphiles	Archaea_pH	Natronobacterium	Natronobacterium texcoconense	1095778.0	100009
161	GCA_900104215.1	GCA_900104215.1	Bacteria	Alkaliphiles	Bacteria_pH	Desulfonatronum	Desulfonatronum thiosulfatophilum	617002.0	100009
162	GCA_900107035.1	GCA_900107035.1	Bacteria	Acidophiles	Bacteria_pH	Alicyclobacillus	Alicyclobacillus hesperidum	89784.0	100012
163	GCA_900108085.1	GCA_900108085.1	Bacteria	Alkaliphiles	Bacteria_pH	Algoriphagus	Algoriphagus boritolerans	1120964.0	100009
164	GCA_900108095.1	GCA_900108095.1	Archaea	Alkaliphiles	Archaea_pH	Natronorubrum	Natronorubrum sediminis	640943.0	100009
165	GCA_900109085.1	GCA_900109085.1	Bacteria	Alkaliphiles	Bacteria_pH	Alkalibacterium	Alkalibacterium gilvum	1130080.0	100327
166	GCA_900109325.1	GCA_900109325.1	Bacteria	Alkaliphiles	Bacteria_pH	Alkalibacterium	Alkalibacterium pelagium	426702.0	100011
167	GCA_900109825.1	GCA_900109825.1	Bacteria	Alkaliphiles	Bacteria_pH	Alkalibacterium	Alkalibacterium putridalgicola	426703.0	100016
168	GCA_900110375.1	GCA_900110375.1	Bacteria	Alkaliphiles	Bacteria_pH	Flavobacterium	Flavobacterium sinopsychrotolerans	604089.0	100009
169	GCA_900111795.1	GCA_900111795.1	Bacteria	Alkaliphiles	Bacteria_pH	Anoxybacillus	Anoxybacillus pushchinoensis	150248.0	100011
170	GCA_900112455.1	GCA_900112455.1	Bacteria	Alkaliphiles	Bacteria_pH	Alkalibacterium	Alkalibacterium subtropicum	753702.0	100009
171	GCA_900113635.1	GCA_900113635.1	Bacteria	Alkaliphiles	Bacteria_pH	Tindallia	Tindallia magadiensis	69895.0	100013
172	GCA_900116805.1	GCA_900116805.1	Bacteria	Acidophiles	Bacteria_pH	Alicyclobacillus_H	Alicyclobacillus_H macrosporangiidus	392015.0	100014
173	GCA_900128885.1	GCA_900128885.1	Bacteria	Alkaliphiles	Bacteria_pH	Alkalibacter	Alkalibacter saccharofermentans	1120975.0	100012
174	GCA_900128965.1	GCA_900128965.1	Bacteria	Acidophiles	Bacteria_pH	Ferrithrix	Ferrithrix thermotolerans	1121881.0	100014
175	GCA_900129115.1	GCA_900129115.1	Bacteria	Acidophiles	Bacteria_pH	Thermoanaerobacter	Thermoanaerobacter uzonensis	1123369.0	100011
176	GCA_900129125.1	GCA_900129125.1	Bacteria	Acidophiles	Bacteria_pH	Acidocella	Acidocella aminolytica	1120923.0	100014
177	GCA_900142255.1	GCA_900142255.1	Bacteria	Acidophiles	Bacteria_pH	Alicyclobacillus_I	Alicyclobacillus_I montanus	1830138.0	100014
178	GCA_900156265.1	GCA_900156265.1	Bacteria	Acidophiles	Bacteria_pH	Acidiphilium	Acidiphilium rubrum	1408418.0	100011
179	GCA_900156755.1	GCA_900156755.1	Bacteria	Acidophiles	Bacteria_pH	Alicyclobacillus	Alicyclobacillus vulcanalis	252246.0	100009
180	GCA_900175965.1	GCA_900175965.1	Bacteria	Alkaliphiles	Bacteria_pH	Rubrobacter	Rubrobacter radiotolerans	42256.0	100009
181	GCA_900176145.1	GCA_900176145.1	Bacteria	Acidophiles	Bacteria_pH	Sulfobacillus	Sulfobacillus thermosulfidooxidans	28034.0	100009
182	GCA_900176435.1	GCA_900176435.1	Archaea	Acidophiles	Archaea_pH	Picrophilus	Picrophilus oshimae	1122961.0	100011
183	GCA_900188065.1	GCA_900188065.1	Archaea	Alkaliphiles	Archaea_pH	Halorubrum	Halorubrum vacuolatum	63740.0	100011
184	GCA_902143385.2	GCA_902143385.2	Bacteria	Acidophiles	Bacteria_pH	Methylacidimicrobium	Methylacidimicrobium cyclopophantes	1041766.0	100016
185	GCA_902712915.1	GCA_902712915.1	Bacteria	Acidophiles	Bacteria_pH	Acidiphilium	Acidiphilium sp002255515	1970291.0	100009
